time,accx,accy,accz
2110,   736, -3477, -6940
2121,   818, -3503, -6887
2133,   893, -3528, -6801
2141,   934, -3544, -6769
2152,   939, -3548, -6813
2164,   918, -3540, -6868
2171,   708, -3384, -7221
2181,   699, -3423, -6993
2191,   725, -3461, -6947
2202,   793, -3481, -7056
2212,   809, -3492, -6877
2221,   824, -3506, -6846
2231,   843, -3511, -6996
2242,   778, -3490, -6945
2253,   692, -3461, -7041
2274,   688, -3459, -7134
2280,   680, -3461, -6975
2286,   702, -3464, -6960
2292,   735, -3473, -7014
2301,   737, -3472, -7023
2311,   718, -3460, -6999
2321,   698, -3447, -7009
2331,   714, -3449, -7002
2343,   771, -3468, -6952
2351,   855, -3495, -6892
2361,   950, -3566, -6769
2371,  1001, -3587, -6689
2381,   973, -3548, -6836
2391,   934, -3521, -6890
2401,   866, -3492, -6961
2411,   803, -3462, -7068
2421,   736, -3430, -7135
2431,   743, -3428, -7060
2441,   838, -3464, -6961
2451,   865, -3472, -6930
2461,   807, -3449, -6983
2471,   801, -3436, -7036
2482,   846, -3454, -6969
2503,   885, -3472, -6901
2509,   920, -3457, -6936
2515,   961, -3411, -7001
2521,   997, -3318, -7068
2531,   788, -3377, -7152
2541,   772, -3409, -7005
2552,   890, -3531, -6764
2561,  1010, -3571, -6751
2576,  1079, -3597, -6949
2582,  1070, -3608, -6994
2591,   841, -3340, -7140
2603,   773, -3185, -7183
2612,   783, -3269, -7164
2621,   727, -3398, -6962
2631,   849, -3444, -6889
2641,   931, -3452, -6773
2651,   991, -3453, -6847
2662,  1023, -3448, -6951
2671,  1028, -3433, -6896
2683,  1041, -3423, -6963
2691,  1039, -3404, -7019
2713,  1033, -3394, -6990
2723,  1049, -3390, -6995
2729,  1058, -3393, -6991
2735,  1065, -3394, -7017
2741,  1074, -3388, -6987
2751,  1081, -3394, -6985
2761,  1081, -3393, -7009
2772,  1083, -3385, -7021
2781,  1103, -3386, -7000
2791,  1122, -3391, -6984
2802,  1128, -3390, -6983
2811,  1125, -3389, -7010
2821,  1131, -3393, -7014
2831,  1141, -3394, -7034
2844,  1134, -3389, -7024
2852,  1138, -3386, -7020
2861,  1156, -3389, -7014
2872,  1171, -3394, -7018
2881,  1158, -3389, -7026
2897,  1153, -3383, -7018
2903,  1170, -3390, -6995
2912,  1183, -3396, -7002
2921,  1188, -3399, -7022
2932,  1196, -3403, -7019
2942,  1193, -3397, -7042
2953,  1174, -3391, -6974
2962,  1199, -3390, -7016
2974,  1235, -3405, -6986
2982,  1278, -3409, -6926
2991,  1329, -3433, -6929
3002,  1385, -3458, -6799
3012,  1435, -3480, -6905
3022,  1384, -3480, -6803
3032,  1271, -3443, -6885
3042,  1207, -3408, -7161
3051,  1145, -3387, -6983
3062,  1149, -3380, -7055
3071,  1192, -3391, -7147
3082,  1215, -3396, -6920
3092,  1276, -3416, -6946
3101,  1302, -3427, -6972
3111,  1282, -3427, -6916
3121,  1263, -3422, -6997
3131,  1254, -3425, -6999
3142,  1288, -3445, -6968
3151,  1320, -3451, -6955
3183,  1328, -3448, -6969
3189,  1363, -3466, -6957
3195,  1398, -3488, -6839
3201,  1457, -3513, -6869
3207,  1442, -3513, -6890
3213,  1364, -3485, -6932
3222,  1331, -3465, -7000
3231,  1360, -3477, -7008
3242,  1393, -3499, -6955
3252,  1388, -3510, -6933
3262,  1358, -3501, -6972
3271,  1324, -3493, -7007
3283,  1304, -3492, -7009
3292,  1298, -3502, -6981
3302,  1295, -3510, -7005
3313,  1304, -3513, -6973
3322,  1328, -3524, -6959
3333,  1334, -3531, -6941
3345,  1348, -3543, -6926
3352,  1355, -3553, -6911
3362,  1348, -3558, -6927
3372,  1332, -3563, -6935
3382,  1307, -3561, -6964
3392,  1316, -3574, -6941
3405,  1328, -3579, -6925
3414,  1327, -3584, -6926
3422,  1316, -3588, -6935
3432,  1297, -3587, -6954
3442,  1278, -3583, -6968
3456,  1252, -3585, -6985
3463,  1237, -3588, -6981
3473,  1221, -3591, -6979
3486,  1202, -3596, -6982
3493,  1186, -3599, -6981
3502,  1183, -3608, -6977
3512,  1187, -3613, -6962
3522,  1194, -3617, -6943
3532,  1198, -3622, -6919
3542,  1194, -3628, -6914
3552,  1195, -3626, -6914
3562,  1192, -3627, -6914
3572,  1191, -3632, -6918
3582,  1192, -3633, -6913
3593,  1157, -3621, -6947
3603,  1104, -3600, -6996
3612,  1063, -3583, -7031
3622,  1088, -3597, -6982
3633,  1096, -3601, -6959
3642,   932, -3535, -7147
3653,  1129, -3619, -6887
3665,  1189, -3632, -6848
3672,  1194, -3626, -6871
3682,  1200, -3621, -6886
3703,  1210, -3620, -6894
3710,  1212, -3618, -6900
3716,  1212, -3615, -6903
3722,  1218, -3608, -6909
3732,  1227, -3598, -6917
3742,  1225, -3596, -6918
3752,  1226, -3594, -6923
