time,gyrx,gyry,gyrz
9,    -4,    30,   106
16,    -4,    30,   106
22,    -4,    30,   106
28,    -4,    30,   106
34,    -4,    31,   106
44,    -4,    31,   106
50,    -4,    31,   106
56,    -4,    30,   106
62,    -4,    30,   106
68,    -4,    30,   106
74,    -4,    30,   106
81,    -4,    30,   106
86,    -3,    30,   106
93,    -3,    30,   106
99,    -3,    30,   106
105,    -3,    30,   106
112,    -3,    30,   106
118,    -3,    30,   106
125,    -3,    30,   106
132,    -3,    30,   106
139,    -3,    30,   106
144,    -6,    22,   106
150,   -11,    11,   106
156,   -11,    12,   105
161,   -12,     8,   105
167,   -15,     2,   105
173,   -23,   -18,   105
179,   -34,   -44,   104
185,   -30,   -35,   104
191,   -15,     1,   105
197,     0,    39,   106
203,     5,    52,   106
209,     5,    50,   106
215,     4,    48,   106
221,     4,    48,   106
227,     5,    50,   109
233,     3,    45,   108
239,    -1,    35,   107
245,    -5,    27,   106
251,    -7,    22,   106
257,   -10,    15,   106
263,   -11,    11,   106
269,   -10,    15,   106
275,    -7,    23,   106
281,    -4,    30,   106
287,    -4,    30,   106
293,    -3,    32,   106
299,    -3,    32,   106
305,    -4,    30,   106
311,    -4,    29,   106
318,    -5,    27,   106
324,    -7,    23,   106
329,    -8,    20,   106
335,    -9,    17,   106
341,   -10,    15,   105
347,    -7,    23,   105
357,     1,    42,   106
368,     5,    51,   106
378,     1,    41,   106
387,    -5,    26,   106
397,    -4,    29,   106
407,    -4,    30,   106
418,    -4,    29,   106
427,    -5,    28,   106
438,    -4,    29,   106
447,    -4,    29,   106
458,    -4,    29,   106
467,    -4,    30,   106
477,    -4,    30,   106
488,    -4,    30,   106
497,    -4,    31,   106
519,    -4,    30,   106
525,    -4,    30,   106
531,    -4,    30,   106
537,    -4,    30,   106
548,    -4,    31,   106
558,    -3,    31,   106
567,    -3,    32,   106
580,    -3,    32,   106
590,    -3,    32,   106
598,    -3,    30,   106
612,    -3,    31,   106
620,    -4,    31,   106
628,    -4,    30,   106
637,    -3,    31,   106
648,    -4,    31,   106
657,    -4,    30,   106
667,    -3,    31,   106
678,    -3,    34,   106
689,    -2,    35,   106
698,    -2,    35,   106
707,    -2,    34,   106
721,    -3,    33,   106
728,    -3,    33,   106
742,    -3,    32,   106
749,    -3,    33,   106
764,    -3,    33,   106
770,    -3,    31,   106
777,    -3,    31,   106
788,    -3,    32,   106
797,    -4,    28,   106
808,    -4,    28,   106
817,    -4,    29,   106
828,    -4,    30,   106
837,    -3,    32,   106
854,    -2,    35,   106
862,    -2,    34,   106
870,    -4,    30,   106
877,    -4,    29,   106
888,    -4,    30,   106
898,    -4,    30,   106
907,    -4,    31,   106
918,    -3,    32,   106
928,    -2,    33,   106
938,    -3,    32,   106
948,    -4,    30,   106
957,    -4,    30,   106
968,    -4,    30,   106
978,    -4,    31,   106
992,    -3,    31,   106
998,    -3,    31,   106
1009,    -4,    31,   106
1018,    -3,    31,   106
1028,    -4,    31,   106
1038,    -4,    30,   106
1048,    -3,    31,   106
1058,    -3,    31,   106
1068,    -3,    31,   106
1078,    -3,    31,   106
1088,    -3,    31,   106
1098,    -3,    32,   106
1108,    -3,    31,   106
1118,    -4,    31,   106
1128,    -4,    31,   106
1138,    -3,    32,   106
1148,    -3,    33,   106
1158,    -2,    34,   106
1168,    -2,    34,   106
1178,    -3,    32,   106
1188,    -4,    30,   106
1198,    -4,    30,   106
1208,    -4,    30,   106
1218,    -4,    29,   106
1229,    -4,    30,   106
1241,    -4,    30,   106
1248,    -4,    30,   106
1258,    -3,    31,   106
1270,    -3,    32,   106
1279,    -3,    32,   106
