time,gyrx,gyry,gyrz
1288,    -3,    32,   106
1298,    -3,    31,   106
1308,    -4,    30,   106
1318,    -4,    28,   106
1328,    -5,    27,   106
1338,    -4,    29,   106
1348,    -4,    29,   106
1358,    -4,    30,   106
1368,    -4,    30,   106
1378,    -3,    31,   106
1388,    -3,    31,   106
1398,    -3,    31,   106
1408,    -3,    32,   106
1418,    -3,    32,   106
1428,    -3,    31,   106
1438,    -3,    32,   106
1448,    -3,    31,   106
1458,    -3,    31,   106
1468,    -4,    30,   106
1478,    -3,    32,   106
1488,    -3,    32,   106
1499,    -3,    32,   106
1508,    -3,    31,   106
1523,    -3,    31,   106
1529,    -4,    30,   106
1538,    -3,    31,   106
1553,    -3,    32,   106
1559,    -3,    31,   106
1568,    -3,    32,   106
1579,    -3,    32,   106
1589,    -3,    31,   106
1601,    -3,    32,   106
1610,    -3,    33,   106
1620,    -3,    32,   106
1632,    -3,    32,   106
1639,    -3,    32,   106
1655,    -3,    31,   106
1663,    -3,    32,   106
1669,    -3,    31,   106
1678,    -3,    32,   106
1689,    -3,    31,   106
1698,    -4,    30,   106
1709,    -4,    30,   106
1719,    -4,    30,   106
1729,    -3,    32,   106
1739,    -3,    32,   106
1748,    -4,    31,   106
1759,    -4,    31,   106
1769,    -4,    31,   106
1783,    -4,    30,   106
1789,    -3,    32,   106
1798,    -3,    32,   106
1808,    -3,    31,   106
1819,    -3,    31,   106
1829,    -3,    32,   106
1839,    -3,    33,   106
1850,    -3,    32,   106
1859,    -3,    33,   106
1869,    -2,    35,   106
1880,    -2,    36,   106
1889,    -2,    34,   106
1898,    -2,    34,   106
1911,    -2,    34,   106
1919,    -3,    34,   106
1929,    -3,    33,   106
1940,    -3,    33,   106
1949,    -3,    33,   106
1958,    -2,    35,   106
1982,    -2,    35,   106
1989,    -2,    36,   106
1995,    -2,    35,   106
2001,    -2,    35,   106
2009,    -3,    32,   106
2018,    -3,    32,   106
2029,    -2,    34,   106
2039,    -3,    32,   106
2050,    -2,    34,   107
2059,    -1,    38,   106
2068,     0,    40,   106
