time,qw,qx,qy,qz
788,-0.11755,0.78906,-0.59650,0.08801
797,-0.11664,0.78094,-0.60706,0.08984
808,-0.11566,0.77264,-0.61743,0.09149
817,-0.11469,0.76422,-0.62775,0.09314
828,-0.11353,0.75568,-0.63800,0.09491
837,-0.11237,0.74695,-0.64813,0.09680
854,-0.11096,0.73804,-0.65814,0.09912
862,-0.10962,0.72900,-0.66803,0.10138
870,-0.10834,0.71991,-0.67773,0.10327
877,-0.10718,0.71069,-0.68738,0.10486
888,-0.10596,0.70129,-0.69684,0.10645
898,-0.10468,0.69177,-0.70624,0.10809
907,-0.10333,0.68213,-0.71552,0.10974
918,-0.10193,0.67236,-0.72467,0.11157
928,-0.10040,0.66241,-0.73364,0.11353
938,-0.09894,0.65234,-0.74255,0.11536
948,-0.09747,0.64221,-0.75128,0.11700
957,-0.09613,0.63196,-0.75983,0.11859
968,-0.09467,0.62158,-0.76831,0.12006
978,-0.09320,0.61108,-0.77661,0.12164
992,-0.09174,0.60046,-0.78479,0.12317
998,-0.09015,0.58972,-0.79279,0.12469
1009,-0.08862,0.57892,-0.80066,0.12616
1018,-0.08704,0.56799,-0.80841,0.12762
1028,-0.08551,0.55701,-0.81598,0.12903
1038,-0.08392,0.54590,-0.82343,0.13037
1048,-0.08234,0.53467,-0.83069,0.13171
1058,-0.08069,0.52332,-0.83783,0.13306
1068,-0.07898,0.51190,-0.84479,0.13440
1078,-0.07733,0.50043,-0.85156,0.13574
1088,-0.07562,0.48877,-0.85828,0.13702
1098,-0.07385,0.47711,-0.86475,0.13831
1108,-0.07208,0.46527,-0.87109,0.13959
1118,-0.07037,0.45343,-0.87732,0.14075
1128,-0.06866,0.44147,-0.88336,0.14185
1138,-0.06689,0.42944,-0.88922,0.14301
1148,-0.06494,0.41730,-0.89490,0.14423
1158,-0.06293,0.40503,-0.90045,0.14557
1168,-0.06085,0.39270,-0.90582,0.14685
1178,-0.05884,0.38037,-0.91101,0.14807
1188,-0.05707,0.36798,-0.91608,0.14905
1198,-0.05536,0.35553,-0.92090,0.14990
1208,-0.05359,0.34302,-0.92566,0.15070
1218,-0.05182,0.33044,-0.93018,0.15149
1229,-0.05011,0.31781,-0.93451,0.15222
1241,-0.04828,0.30511,-0.93872,0.15295
1248,-0.04651,0.29236,-0.94275,0.15363
1258,-0.04456,0.27954,-0.94659,0.15442
1270,-0.04254,0.26666,-0.95026,0.15521
1279,-0.04047,0.25372,-0.95380,0.15601
1288,-0.03839,0.24072,-0.95709,0.15674
1298,-0.03638,0.22772,-0.96027,0.15741
1308,-0.03448,0.21466,-0.96320,0.15802
1318,-0.03271,0.20160,-0.96600,0.15845
1328,-0.03113,0.18860,-0.96869,0.15875
1338,-0.02942,0.17548,-0.97113,0.15906
1348,-0.02759,0.16235,-0.97339,0.15942
1358,-0.02570,0.14911,-0.97552,0.15979
1368,-0.02380,0.13586,-0.97742,0.16016
1378,-0.02179,0.12262,-0.97919,0.16052
1388,-0.01965,0.10931,-0.98071,0.16095
1398,-0.01758,0.09601,-0.98212,0.16125
1408,-0.01544,0.08270,-0.98328,0.16162
1418,-0.01331,0.06934,-0.98431,0.16193
1428,-0.01117,0.05597,-0.98511,0.16217
1438,-0.00903,0.04260,-0.98578,0.16241
1448,-0.00690,0.02924,-0.98627,0.16260
1458,-0.00482,0.01587,-0.98657,0.16278
1468,-0.00281,0.00250,-0.98669,0.16290
1478,-0.00067,-0.01086,-0.98657,0.16296
1488,0.00153,-0.02429,-0.98633,0.16309
1499,0.00378,-0.03766,-0.98590,0.16315
1508,0.00592,-0.05103,-0.98529,0.16321
1523,0.00800,-0.06439,-0.98450,0.16315
1529,0.01007,-0.07770,-0.98352,0.16309
1538,0.01208,-0.09106,-0.98236,0.16296
1553,0.01422,-0.10437,-0.98102,0.16284
1559,0.01636,-0.11768,-0.97955,0.16272
1568,0.01855,-0.13092,-0.97784,0.16254
1579,0.02075,-0.14417,-0.97595,0.16235
1589,0.02289,-0.15741,-0.97388,0.16211
1601,0.02502,-0.17059,-0.97168,0.16187
1610,0.02734,-0.18378,-0.96924,0.16156
1620,0.02954,-0.19696,-0.96661,0.16125
1632,0.03180,-0.21002,-0.96387,0.16095
1639,0.03400,-0.22314,-0.96088,0.16058
1655,0.03607,-0.23615,-0.95776,0.16016
1663,0.03821,-0.24908,-0.95447,0.15973
1669,0.04034,-0.26202,-0.95099,0.15930
1678,0.04248,-0.27490,-0.94733,0.15875
1689,0.04456,-0.28772,-0.94354,0.15826
1698,0.04657,-0.30048,-0.93958,0.15771
1709,0.04846,-0.31317,-0.93536,0.15710
1719,0.05048,-0.32581,-0.93109,0.15649
1729,0.05249,-0.33838,-0.92657,0.15582
1739,0.05463,-0.35095,-0.92188,0.15515
1748,0.05664,-0.36340,-0.91705,0.15442
1759,0.05853,-0.37573,-0.91205,0.15369
1769,0.06049,-0.38806,-0.90686,0.15289
1783,0.06238,-0.40033,-0.90155,0.15210
1789,0.06439,-0.41254,-0.89606,0.15125
1798,0.06647,-0.42462,-0.89038,0.15033
1808,0.06848,-0.43665,-0.88452,0.14948
1819,0.07043,-0.44861,-0.87854,0.14856
1829,0.07239,-0.46051,-0.87238,0.14758
1839,0.07446,-0.47229,-0.86603,0.14661
1850,0.07654,-0.48401,-0.85950,0.14557
1859,0.07861,-0.49567,-0.85284,0.14453
1869,0.08093,-0.50726,-0.84595,0.14337
1880,0.08337,-0.51874,-0.83893,0.14221
1889,0.08575,-0.53015,-0.83173,0.14105
1898,0.08789,-0.54144,-0.82440,0.13989
1911,0.09009,-0.55261,-0.81689,0.13867
1919,0.09222,-0.56366,-0.80933,0.13739
1929,0.09430,-0.57458,-0.80157,0.13617
1940,0.09637,-0.58545,-0.79364,0.13489
1949,0.09833,-0.59619,-0.78558,0.13354
1958,0.10046,-0.60681,-0.77734,0.13220
1982,0.10260,-0.61737,-0.76898,0.13074
1989,0.10486,-0.62781,-0.76044,0.12927
1995,0.10706,-0.63806,-0.75177,0.12775
2001,0.10919,-0.64825,-0.74292,0.12628
2009,0.11115,-0.65826,-0.73401,0.12488
2018,0.11279,-0.66815,-0.72504,0.12347
2029,0.11462,-0.67798,-0.71582,0.12195
2039,0.11639,-0.68762,-0.70648,0.12048
2050,0.11810,-0.69720,-0.69702,0.11890
2059,0.12030,-0.70673,-0.68732,0.11713
2068,0.12262,-0.71606,-0.67749,0.11523
