time,qw,qx,qy,qz
9,-0.13470,0.76593,0.61829,-0.11334
16,-0.13593,0.77429,0.60785,-0.11169
22,-0.13708,0.78247,0.59729,-0.11005
28,-0.13831,0.79053,0.58667,-0.10828
34,-0.13947,0.79840,0.57593,-0.10651
44,-0.14062,0.80615,0.56512,-0.10474
50,-0.14172,0.81372,0.55414,-0.10291
56,-0.14282,0.82117,0.54309,-0.10107
62,-0.14392,0.82849,0.53198,-0.09924
68,-0.14496,0.83563,0.52075,-0.09741
74,-0.14600,0.84259,0.50940,-0.09558
81,-0.14703,0.84943,0.49799,-0.09375
86,-0.14801,0.85614,0.48645,-0.09192
93,-0.14899,0.86261,0.47485,-0.09015
99,-0.14990,0.86902,0.46313,-0.08832
105,-0.15088,0.87524,0.45135,-0.08643
112,-0.15179,0.88129,0.43945,-0.08453
118,-0.15277,0.88715,0.42743,-0.08258
125,-0.15375,0.89288,0.41541,-0.08063
132,-0.15466,0.89844,0.40326,-0.07874
139,-0.15552,0.90387,0.39105,-0.07678
144,-0.15601,0.90906,0.37891,-0.07520
150,-0.15552,0.91406,0.36700,-0.07458
156,-0.15448,0.91895,0.35516,-0.07446
161,-0.15338,0.92358,0.34326,-0.07428
167,-0.15186,0.92810,0.33148,-0.07458
173,-0.14935,0.93243,0.32001,-0.07605
179,-0.14423,0.93652,0.30920,-0.08038
185,-0.13861,0.94049,0.29834,-0.08478
191,-0.13544,0.94440,0.28668,-0.08643
197,-0.13550,0.94836,0.27405,-0.08417
203,-0.13733,0.95221,0.26086,-0.07959
209,-0.13934,0.95581,0.24768,-0.07483
215,-0.14117,0.95923,0.23450,-0.07031
221,-0.14288,0.96240,0.22125,-0.06586
227,-0.14459,0.96545,0.20770,-0.06134
233,-0.14636,0.96826,0.19415,-0.05713
239,-0.14746,0.97089,0.18091,-0.05383
245,-0.14789,0.97327,0.16785,-0.05151
251,-0.14783,0.97552,0.15491,-0.04968
257,-0.14734,0.97760,0.14215,-0.04865
263,-0.14636,0.97949,0.12946,-0.04822
269,-0.14551,0.98126,0.11670,-0.04761
275,-0.14502,0.98285,0.10376,-0.04626
281,-0.14496,0.98425,0.09058,-0.04395
287,-0.14508,0.98547,0.07739,-0.04138
293,-0.14526,0.98651,0.06415,-0.03870
299,-0.14545,0.98737,0.05090,-0.03595
305,-0.14563,0.98804,0.03760,-0.03326
311,-0.14563,0.98853,0.02441,-0.03082
318,-0.14557,0.98883,0.01123,-0.02850
324,-0.14532,0.98901,-0.00189,-0.02661
329,-0.14490,0.98901,-0.01495,-0.02515
335,-0.14429,0.98883,-0.02789,-0.02405
341,-0.14355,0.98853,-0.04083,-0.02325
347,-0.14301,0.98798,-0.05383,-0.02203
357,-0.14294,0.98724,-0.06726,-0.01880
368,-0.14343,0.98621,-0.08087,-0.01385
378,-0.14392,0.98499,-0.09442,-0.00934
387,-0.14392,0.98370,-0.10754,-0.00677
397,-0.14362,0.98224,-0.12073,-0.00452
407,-0.14343,0.98053,-0.13385,-0.00201
418,-0.14319,0.97870,-0.14697,0.00037
427,-0.14288,0.97668,-0.16003,0.00262
438,-0.14258,0.97449,-0.17310,0.00488
447,-0.14221,0.97211,-0.18616,0.00720
458,-0.14185,0.96960,-0.19916,0.00946
467,-0.14142,0.96686,-0.21216,0.01178
477,-0.14105,0.96393,-0.22510,0.01428
488,-0.14069,0.96088,-0.23804,0.01672
497,-0.14026,0.95758,-0.25092,0.01923
519,-0.13977,0.95416,-0.26379,0.02167
525,-0.13934,0.95050,-0.27655,0.02405
531,-0.13885,0.94672,-0.28931,0.02637
537,-0.13831,0.94275,-0.30200,0.02869
548,-0.13776,0.93866,-0.31464,0.03113
558,-0.13721,0.93433,-0.32721,0.03357
567,-0.13666,0.92981,-0.33978,0.03607
580,-0.13605,0.92517,-0.35223,0.03857
590,-0.13538,0.92029,-0.36469,0.04108
598,-0.13477,0.91528,-0.37701,0.04346
612,-0.13409,0.91016,-0.38928,0.04578
620,-0.13342,0.90479,-0.40149,0.04810
628,-0.13269,0.89929,-0.41364,0.05035
637,-0.13196,0.89362,-0.42572,0.05267
648,-0.13116,0.88782,-0.43768,0.05505
657,-0.13037,0.88177,-0.44958,0.05725
667,-0.12958,0.87561,-0.46143,0.05951
678,-0.12866,0.86932,-0.47321,0.06189
689,-0.12775,0.86279,-0.48492,0.06458
698,-0.12677,0.85608,-0.49652,0.06738
707,-0.12579,0.84918,-0.50806,0.07007
721,-0.12482,0.84222,-0.51947,0.07251
728,-0.12378,0.83508,-0.53076,0.07489
742,-0.12280,0.82776,-0.54199,0.07715
749,-0.12170,0.82031,-0.55310,0.07941
764,-0.12067,0.81274,-0.56415,0.08167
770,-0.11969,0.80499,-0.57501,0.08386
777,-0.11865,0.79706,-0.58582,0.08594
