time,accx,accy,accz
2133,   833, -6101,-14579
2141,   849, -6109,-14550
2152,   819, -6098,-14598
2164,   760, -6075,-14656
2171,   530, -5908,-15014
2181,   539, -5950,-14785
2191,   584, -5993,-14737
2202,   659, -6018,-14845
2212,   678, -6029,-14666
2221,   687, -6039,-14636
2231,   691, -6039,-14787
2242,   616, -6012,-14738
2253,   535, -5982,-14834
2274,   553, -5988,-14925
2280,   573, -6002,-14763
2286,   622, -6017,-14744
2292,   677, -6038,-14795
2301,   699, -6047,-14800
2311,   703, -6046,-14772
2321,   711, -6047,-14778
2331,   758, -6066,-14765
2343,   844, -6103,-14709
2351,   945, -6142,-14644
2361,  1039, -6218,-14520
2371,  1057, -6233,-14442
2381,   983, -6180,-14594
2391,   904, -6140,-14653
2401,   808, -6101,-14727
2411,   734, -6067,-14835
2421,   676, -6039,-14901
2431,   710, -6049,-14822
2441,   829, -6098,-14719
2451,   859, -6111,-14685
2461,   801, -6090,-14738
2471,   806, -6085,-14788
2482,   864, -6112,-14718
2503,   909, -6136,-14648
2509,   939, -6124,-14683
2515,   979, -6080,-14746
2521,  1037, -5996,-14810
2531,   870, -6076,-14887
2541,   883, -6127,-14733
2552,  1016, -6264,-14486
2561,  1119, -6308,-14472
2576,  1162, -6332,-14671
2582,  1155, -6348,-14714
2591,   957, -6097,-14853
2603,   913, -5952,-14893
2612,   968, -6059,-14864
2621,   953, -6216,-14651
2631,  1079, -6279,-14572
2641,  1148, -6292,-14454
2651,  1183, -6292,-14529
2662,  1185, -6285,-14635
2671,  1164, -6266,-14582
2683,  1154, -6252,-14651
2691,  1130, -6231,-14708
2713,  1108, -6220,-14679
2723,  1110, -6216,-14684
2729,  1108, -6219,-14680
2735,  1102, -6221,-14706
2741,  1102, -6216,-14676
2751,  1101, -6223,-14674
2761,  1095, -6222,-14698
2772,  1093, -6215,-14708
2781,  1111, -6218,-14687
2791,  1125, -6225,-14671
2802,  1123, -6223,-14670
2811,  1113, -6220,-14697
2821,  1114, -6224,-14701
2831,  1120, -6225,-14722
2844,  1111, -6221,-14712
2852,  1114, -6219,-14707
2861,  1132, -6224,-14700
2872,  1145, -6229,-14704
2881,  1131, -6224,-14712
