time,accx,accy,accz
12,   578, -3898, -7020
18,   599, -3882, -7063
24,   694, -4013, -7075
30,   722, -3958, -7067
36,   653, -3772, -7060
42,   619, -3715, -7051
49,   617, -3723, -7068
55,   631, -3736, -7071
61,   656, -3738, -7076
67,   726, -3719, -7062
74,   835, -3689, -7050
80,   942, -3683, -7077
86,  1246, -3755, -6989
92,  1397, -3759, -7009
98,  1053, -3755, -7042
104,   937, -4035, -7036
110,   844, -4170, -7050
116,   731, -4111, -6976
122,   196, -3794, -6870
128,   209, -3742, -6890
134,   267, -3665, -6941
140,   344, -3666, -6976
146,   434, -3694, -6999
151,   499, -3717, -7014
157,   547, -3735, -7022
163,   584, -3746, -7027
169,   608, -3757, -7028
176,   628, -3767, -7035
181,   646, -3772, -7042
187,   653, -3775, -7038
193,   658, -3777, -7038
198,   661, -3780, -7041
204,   669, -3780, -7037
210,   671, -3776, -7036
215,   675, -3767, -7037
221,   672, -3726, -7049
227,   722, -3517, -7046
233,   802, -3801, -7150
239,   595, -3868, -7178
245,   475, -3836, -7172
251,   532, -3828, -7100
257,   681, -3860, -6950
263,   800, -3888, -6851
269,   872, -3904, -6817
285,   700, -3767, -7097
296,   659, -3779, -7108
311,   696, -3787, -7095
331,   847, -3715, -7074
345,  1098, -3841, -7156
358,  1086, -3753, -7081
364,  1001, -3699, -7004
369,   992, -3764, -6932
377,   814, -3863, -7082
383,   605, -3758, -7209
389,   545, -3767, -7083
396,   493, -3798, -7041
402,   514, -3800, -7014
409,   411, -3738, -7044
418,   523, -3768, -7042
428,   592, -3735, -7033
438,   563, -3726, -7032
448,   507, -3753, -7066
463,   579, -3771, -7073
469,   607, -3724, -7089
479,   616, -3749, -7073
488,   784, -3794, -7058
504,  1030, -3704, -7026
510,  1072, -3695, -7073
518,   927, -3739, -7190
528,   701, -3869, -7130
538,   482, -3870, -7189
548,   360, -3862, -7125
565,   343, -3839, -7119
571,   300, -3839, -7091
579,   382, -3827, -7080
588,   444, -3813, -7078
598,   490, -3811, -7082
609,   522, -3807, -7076
618,   549, -3801, -7070
629,   570, -3793, -7074
640,   583, -3792, -7073
648,   598, -3785, -7075
658,   610, -3781, -7071
669,   623, -3783, -7068
679,   632, -3779, -7070
688,   633, -3777, -7062
699,   638, -3774, -7061
712,   641, -3773, -7066
721,   642, -3775, -7060
728,   638, -3776, -7057
