time,gyrx,gyry,gyrz
2379,    -4,    30,   106
2389,    -4,    30,   106
2399,    -4,    31,   106
2409,    -4,    30,   106
2420,    -4,    30,   106
2429,    -4,    30,   106
2440,    -4,    30,   106
2449,    -4,    30,   106
2459,    -4,    30,   106
2470,    -4,    30,   106
2480,    -4,    30,   106
2489,    -4,    30,   106
2500,    -4,    30,   106
2510,    -4,    30,   106
2519,    -4,    30,   106
2529,    -4,    30,   106
2540,    -4,    30,   106
2551,    -4,    30,   106
2560,    -4,    30,   106
2570,    -4,    31,   106
2580,    -4,    30,   106
2590,    -4,    30,   106
2600,    -4,    30,   106
2611,    -4,    30,   106
2619,    -4,    30,   106
2629,    -4,    30,   106
2639,    -4,    30,   106
2649,    -4,    30,   106
2659,    -4,    30,   106
2669,    -4,    30,   106
2680,    -4,    30,   106
2689,    -4,    30,   106
2700,    -4,    30,   106
2709,    -4,    30,   106
2719,    -4,    30,   106
2731,    -4,    30,   106
2741,    -4,    30,   106
2760,    -4,    30,   106
2766,    -4,    30,   106
2772,    -4,    30,   106
2779,    -4,    30,   106
2790,    -4,    30,   106
2800,    -4,    30,   106
2810,    -4,    30,   106
2819,    -4,    30,   106
2830,    -4,    30,   106
2840,    -4,    30,   106
2864,    -4,    30,   106
2870,    -4,    30,   106
2876,    -4,    30,   106
2882,    -4,    30,   106
2890,    -4,    30,   106
2900,    -4,    30,   106
2910,    -4,    30,   106
2920,    -4,    30,   106
2932,    -4,    30,   106
2939,    -4,    30,   106
2950,    -4,    30,   106
2969,    -4,    30,   106
2975,    -4,    30,   106
2981,    -4,    30,   106
2989,    -4,    31,   106
3000,    -4,    30,   106
3010,    -4,    30,   106
3020,    -4,    30,   106
3030,    -4,    30,   106
3040,    -4,    30,   106
3049,    -4,    30,   106
3060,    -4,    30,   106
3070,    -4,    30,   106
3080,    -4,    30,   106
3090,    -4,    30,   106
3100,    -4,    30,   106
3111,    -4,    30,   106
3120,    -4,    30,   106
3130,    -4,    30,   106
3146,    -4,    30,   106
3153,    -4,    30,   106
3160,    -4,    30,   106
3170,    -4,    30,   106
3180,    -4,    30,   106
3190,    -4,    30,   106
3200,    -4,    30,   106
3210,    -4,    30,   106
3220,    -4,    30,   106
3236,    -4,    30,   106
3242,    -4,    30,   106
3250,    -4,    30,   106
3261,    -4,    30,   106
3270,    -4,    30,   106
3280,    -4,    30,   106
3290,    -4,    30,   106
3300,    -4,    30,   106
3310,    -4,    30,   106
3320,    -4,    30,   106
3330,    -4,    30,   106
3340,    -4,    30,   106
3350,    -4,    30,   106
3360,    -4,    30,   106
3370,    -4,    30,   106
3380,    -4,    30,   106
3390,    -4,    30,   106
3400,    -4,    30,   106
3410,    -4,    30,   106
3420,    -4,    30,   106
3430,    -4,    30,   106
3440,    -4,    30,   106
3451,    -4,    30,   106
3461,    -4,    30,   106
3470,    -4,    30,   106
