time,accx,accy,accz
12,   382, -6438,-14806
18,   398, -6417,-14851
24,   493, -6546,-14864
30,   524, -6490,-14855
36,   451, -6298,-14850
42,   413, -6235,-14844
49,   410, -6239,-14861
55,   426, -6250,-14866
61,   451, -6251,-14871
67,   522, -6231,-14857
74,   632, -6198,-14846
80,   741, -6190,-14873
86,  1050, -6261,-14786
92,  1221, -6269,-14805
98,   888, -6265,-14839
104,   767, -6545,-14832
110,   679, -6689,-14844
116,   556, -6637,-14767
122,    11, -6320,-14661
128,     2, -6257,-14683
134,    54, -6175,-14736
140,   128, -6173,-14772
146,   219, -6201,-14795
151,   285, -6222,-14811
157,   335, -6240,-14819
163,   372, -6249,-14824
169,   397, -6259,-14826
176,   418, -6269,-14833
181,   437, -6273,-14840
187,   446, -6275,-14837
193,   451, -6276,-14837
198,   455, -6279,-14840
204,   464, -6278,-14836
210,   468, -6274,-14835
215,   472, -6265,-14836
221,   470, -6224,-14848
227,   521, -6011,-14847
233,   608, -6292,-14952
239,   434, -6378,-14974
245,   344, -6361,-14964
251,   436, -6369,-14888
257,   607, -6413,-14733
263,   715, -6441,-14634
269,   746, -6443,-14605
285,   518, -6283,-14891
296,   460, -6285,-14905
311,   494, -6291,-14892
331,   647, -6216,-14872
345,   911, -6344,-14954
358,   907, -6257,-14879
364,   829, -6200,-14803
369,   819, -6263,-14732
377,   641, -6368,-14880
383,   425, -6260,-15007
389,   360, -6267,-14881
396,   309, -6300,-14840
402,   331, -6304,-14811
409,   225, -6241,-14842
418,   334, -6270,-14840
428,   407, -6239,-14831
438,   377, -6228,-14830
448,   320, -6256,-14864
463,   392, -6275,-14871
469,   422, -6226,-14887
479,   434, -6249,-14872
488,   602, -6294,-14857
504,   861, -6205,-14825
510,   912, -6194,-14873
518,   774, -6238,-14990
528,   552, -6371,-14929
538,   334, -6377,-14987
548,   208, -6369,-14922
565,   189, -6348,-14915
571,   141, -6347,-14888
579,   217, -6336,-14877
588,   275, -6322,-14875
598,   318, -6319,-14879
609,   348, -6315,-14873
618,   375, -6308,-14866
629,   395, -6301,-14871
640,   408, -6299,-14869
648,   423, -6292,-14872
658,   435, -6288,-14869
669,   448, -6290,-14865
679,   457, -6286,-14867
688,   459, -6284,-14859
699,   465, -6281,-14858
712,   468, -6280,-14862
721,   469, -6282,-14857
728,   465, -6283,-14854
739,   468, -6283,-14855
755,   470, -6287,-14853
762,   470, -6287,-14855
768,   468, -6287,-14860
778,   468, -6284,-14860
788,   467, -6281,-14861
798,   464, -6280,-14858
808,   466, -6285,-14858
822,   471, -6289,-14858
828,   467, -6291,-14860
839,   465, -6288,-14855
849,   466, -6287,-14853
858,   464, -6284,-14859
869,   466, -6281,-14860
879,   468, -6285,-14861
888,   469, -6288,-14860
899,   468, -6288,-14861
910,   466, -6286,-14868
918,   469, -6286,-14870
929,   473, -6283,-14865
939,   474, -6287,-14863
948,   475, -6286,-14860
959,   474, -6289,-14862
969,   470, -6285,-14863
979,   469, -6283,-14862
988,   471, -6286,-14853
999,   473, -6285,-14852
1008,   473, -6284,-14858
1018,   473, -6278,-14866
1029,   470, -6275,-14865
1039,   468, -6278,-14861
1049,   470, -6278,-14855
1058,   473, -6275,-14849
1069,   474, -6280,-14854
1079,   471, -6282,-14857
1090,   469, -6281,-14854
1098,   466, -6282,-14852
1108,   467, -6284,-14854
1119,   469, -6284,-14860
1128,   468, -6285,-14861
1139,   471, -6285,-14859
1148,   472, -6285,-14866
1159,   469, -6283,-14863
1171,   471, -6279,-14864
1179,   471, -6280,-14859
1192,   467, -6281,-14860
1205,   469, -6283,-14862
1211,   468, -6283,-14866
1219,   474, -6283,-14869
1228,   477, -6281,-14870
1240,   476, -6281,-14871
1248,   467, -6281,-14865
1258,   468, -6279,-14868
1274,   471, -6279,-14865
1280,   473, -6279,-14859
1289,   475, -6282,-14857
1298,   470, -6281,-14861
1309,   471, -6285,-14859
1319,   469, -6291,-14857
1329,   469, -6294,-14860
1339,   467, -6290,-14860
1349,   470, -6291,-14855
1359,   467, -6291,-14852
1369,   464, -6293,-14849
1379,   465, -6288,-14849
1395,   463, -6289,-14850
1401,   472, -6288,-14855
1408,   473, -6289,-14863
1419,   473, -6287,-14865
1428,   471, -6286,-14870
1439,   472, -6290,-14879
1457,   470, -6287,-14870
1463,   470, -6286,-14872
1470,   467, -6283,-14874
1479,   465, -6284,-14872
1489,   467, -6281,-14864
1498,   468, -6284,-14859
1513,   464, -6280,-14858
1520,   461, -6282,-14853
1530,   462, -6285,-14854
1539,   462, -6284,-14852
1553,   461, -6284,-14854
1559,   464, -6284,-14853
1569,   468, -6286,-14849
1579,   467, -6285,-14854
1589,   464, -6281,-14852
1600,   468, -6281,-14852
1609,   467, -6284,-14852
1624,   469, -6287,-14861
1630,   471, -6285,-14863
1640,   473, -6280,-14862
1649,   468, -6280,-14859
1659,   466, -6277,-14859
1669,   461, -6280,-14860
1680,   461, -6283,-14865
1689,   465, -6282,-14863
1699,   467, -6282,-14861
